Id,Name,Type,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Languages
36665193,Aardvark,Organization,Aardvark is a library that makes it dead simple to create actionable bug reports.,2015-06-01T14:14:36Z,2021-03-04T08:01:32Z,square,Apache License 2.0,False,44,8,244,244,https://api.github.com/repos/square/Aardvark,https://api.github.com/repos/square/Aardvark/commits,https://api.github.com/repos/square/Aardvark/languages,"Objective-C, Swift, Ruby, C"
60724575,Ackbar,Organization,Testable debug assertions for Swift.,2016-06-08T19:25:00Z,2019-07-03T20:49:12Z,square,Other,True,2,0,26,26,https://api.github.com/repos/square/Ackbar,https://api.github.com/repos/square/Ackbar/commits,https://api.github.com/repos/square/Ackbar/languages,"Swift, Ruby, Objective-C"
89733456,active_merchant_square,Organization,"Square's e-commerce API support added to Active Merchant. (This depends on core active merchant, so it can coexist peacefully with upstream changes there. Not merged into Active Merchant for reasons as described here https://github.com/activemerchant/active_merchant/pull/2242)  See example below, and our blog post: https://medium.com/square-corner-blog/activemerchantsquare-for-squares-e-commerce-api-111ea63e530a",2017-04-28T18:23:16Z,2019-11-10T21:51:31Z,square,MIT License,True,9,7,6,6,https://api.github.com/repos/square/active_merchant_square,https://api.github.com/repos/square/active_merchant_square/commits,https://api.github.com/repos/square/active_merchant_square/languages,"Ruby, Shell"
48068599,active_record-sql_analyzer,Organization,ActiveRecord query logger and analyzer,2015-12-15T20:57:50Z,2021-02-02T03:46:20Z,square,Apache License 2.0,True,5,1,21,21,https://api.github.com/repos/square/active_record-sql_analyzer,https://api.github.com/repos/square/active_record-sql_analyzer/commits,https://api.github.com/repos/square/active_record-sql_analyzer/languages,Ruby
7923123,android-times-square,Organization,Standalone Android widget for picking a single date from a calendar view.,2013-01-30T20:28:27Z,2021-03-07T05:55:58Z,square,Apache License 2.0,False,1213,40,4433,4433,https://api.github.com/repos/square/android-times-square,https://api.github.com/repos/square/android-times-square/commits,https://api.github.com/repos/square/android-times-square/languages,"Java, Shell"
271357426,anvil,Organization,A Kotlin compiler plugin to make dependency injection with Dagger 2 easier.,2020-06-10T18:42:16Z,2021-03-08T11:35:39Z,square,Apache License 2.0,False,27,10,605,605,https://api.github.com/repos/square/anvil,https://api.github.com/repos/square/anvil/commits,https://api.github.com/repos/square/anvil/languages,"Kotlin, Shell"
12226292,apropos,Organization,A simple way to serve up appropriate images for every visitor.,2013-08-19T19:59:51Z,2021-03-08T11:36:20Z,square,Other,False,34,0,773,773,https://api.github.com/repos/square/apropos,https://api.github.com/repos/square/apropos/commits,https://api.github.com/repos/square/apropos/languages,"Ruby, CSS"
2352195,AQGridView,Organization,"A grid view for iPhone/iPad, designed to look similar to NSCollectionView.",2011-09-08T23:22:44Z,2020-05-12T16:26:48Z,square,,True,5,0,25,25,https://api.github.com/repos/square/AQGridView,https://api.github.com/repos/square/AQGridView/commits,https://api.github.com/repos/square/AQGridView/languages,
23241022,arthur,Organization,A gem to interact with the Bugsnag API,2014-08-22T21:50:56Z,2019-08-07T05:59:29Z,square,MIT License,False,3,1,2,2,https://api.github.com/repos/square/arthur,https://api.github.com/repos/square/arthur/commits,https://api.github.com/repos/square/arthur/languages,Ruby
7672099,assertj-android,Organization,A set of AssertJ helpers geared toward testing Android.,2013-01-17T18:51:30Z,2021-03-02T07:21:32Z,square,Apache License 2.0,False,168,10,1591,1591,https://api.github.com/repos/square/assertj-android,https://api.github.com/repos/square/assertj-android/commits,https://api.github.com/repos/square/assertj-android/languages,
94126430,AssistedInject,Organization,Assisted injection for JSR 330.,2017-06-12T18:13:08Z,2021-03-06T16:28:56Z,square,Apache License 2.0,False,52,20,785,785,https://api.github.com/repos/square/AssistedInject,https://api.github.com/repos/square/AssistedInject/commits,https://api.github.com/repos/square/AssistedInject/languages,
169146859,ast_builder,Organization,AstBuilder is a tool to make it easier to work with and compose S-Expressions and other AST related tasks in Ruby,2019-02-04T20:42:45Z,2020-12-29T04:36:54Z,square,Apache License 2.0,False,1,0,23,23,https://api.github.com/repos/square/ast_builder,https://api.github.com/repos/square/ast_builder/commits,https://api.github.com/repos/square/ast_builder/languages,
113245960,async_task,Organization,"Lightweight, asynchronous, and database-backed execution of singleton methods",2017-12-05T23:50:55Z,2019-07-03T20:50:36Z,square,Other,True,1,0,4,4,https://api.github.com/repos/square/async_task,https://api.github.com/repos/square/async_task/commits,https://api.github.com/repos/square/async_task/languages,
40696271,auto-value-redacted,Organization,An extension for Google's AutoValue that omits redacted fields from toString().,2015-08-14T04:48:05Z,2020-12-30T14:41:58Z,square,Apache License 2.0,False,14,0,207,207,https://api.github.com/repos/square/auto-value-redacted,https://api.github.com/repos/square/auto-value-redacted/commits,https://api.github.com/repos/square/auto-value-redacted/languages,
157946618,bazel_maven_repository,Organization,A bazel ruleset creating a more idiomatic bazel representation of a maven repo using a pinned list of artifacts.,2018-11-17T03:22:20Z,2021-02-12T22:32:08Z,square,Apache License 2.0,True,10,12,30,30,https://api.github.com/repos/square/bazel_maven_repository,https://api.github.com/repos/square/bazel_maven_repository/commits,https://api.github.com/repos/square/bazel_maven_repository/languages,
150627472,beancounter,Organization,Utility to audit the balance of Hierarchical Deterministic (HD) wallets. Supports multisig + segwit wallets.,2018-09-27T17:58:45Z,2021-03-02T15:41:30Z,square,Apache License 2.0,False,15,18,127,127,https://api.github.com/repos/square/beancounter,https://api.github.com/repos/square/beancounter/commits,https://api.github.com/repos/square/beancounter/languages,
204986901,bionic,Organization,A Python framework for data science.,2019-08-28T17:29:02Z,2021-03-05T22:14:11Z,square,Apache License 2.0,True,15,26,84,84,https://api.github.com/repos/square/bionic,https://api.github.com/repos/square/bionic/commits,https://api.github.com/repos/square/bionic/languages,
140465535,blocks,Organization,"Simple interface to read, organize, and manipulate structured data in files on local and cloud storage",2018-07-10T17:20:02Z,2021-02-25T20:14:13Z,square,Apache License 2.0,False,10,1,19,19,https://api.github.com/repos/square/blocks,https://api.github.com/repos/square/blocks/commits,https://api.github.com/repos/square/blocks/languages,
178483312,Blueprint,Organization,"Declarative UI construction for iOS, written in Swift",2019-03-29T22:30:48Z,2021-02-26T08:07:56Z,square,Apache License 2.0,False,26,19,498,498,https://api.github.com/repos/square/Blueprint,https://api.github.com/repos/square/Blueprint/commits,https://api.github.com/repos/square/Blueprint/languages,
1010451,border_patrol,Organization,BorderPatrol lets you import a KML file and then check if points are inside or outside the polygons the file defines.,2010-10-20T21:45:31Z,2020-11-05T19:48:34Z,square,MIT License,False,27,2,111,111,https://api.github.com/repos/square/border_patrol,https://api.github.com/repos/square/border_patrol/commits,https://api.github.com/repos/square/border_patrol/languages,
36676514,build_execution,Organization,Execution primitives that force explicit error handling and never call the shell.,2015-06-01T17:23:59Z,2021-01-25T23:27:17Z,square,Apache License 2.0,True,2,0,6,6,https://api.github.com/repos/square/build_execution,https://api.github.com/repos/square/build_execution/commits,https://api.github.com/repos/square/build_execution/languages,
23813195,burst,Organization,A unit testing library for varying test data.,2014-09-09T00:05:42Z,2021-03-05T00:45:42Z,square,Apache License 2.0,False,26,3,453,453,https://api.github.com/repos/square/burst,https://api.github.com/repos/square/burst/commits,https://api.github.com/repos/square/burst/languages,
14911359,callback-as-promised,Organization,Don't make promises you can't keep.,2013-12-04T01:55:16Z,2019-07-18T16:42:27Z,square,Other,True,2,0,11,11,https://api.github.com/repos/square/callback-as-promised,https://api.github.com/repos/square/callback-as-promised/commits,https://api.github.com/repos/square/callback-as-promised/languages,
3179770,cane,Organization,Code quality threshold checking as part of your build,2012-01-14T19:33:47Z,2021-01-25T20:49:26Z,square,Other,False,78,7,1331,1331,https://api.github.com/repos/square/cane,https://api.github.com/repos/square/cane/commits,https://api.github.com/repos/square/cane/languages,
5459107,cascading-helpers,Organization,"A whole bunch of functions, filters, and other tools that make writing Cascading flows a joy",2012-08-18T01:05:23Z,2021-02-23T07:38:19Z,square,Other,True,18,6,54,54,https://api.github.com/repos/square/cascading-helpers,https://api.github.com/repos/square/cascading-helpers/commits,https://api.github.com/repos/square/cascading-helpers/languages,
5266442,cascading2-protobufs,Organization,"Cascading 2 library for working with Protocol Buffers (Scheme, Serialization, and maybe even some functions/filters)",2012-08-02T00:08:35Z,2021-02-23T07:38:20Z,square,MIT License,True,14,8,16,16,https://api.github.com/repos/square/cascading2-protobufs,https://api.github.com/repos/square/cascading2-protobufs/commits,https://api.github.com/repos/square/cascading2-protobufs/languages,
85637033,catalog-api-demo,Organization,Demo app providing examples of common Catalog API interactions.,2017-03-20T23:20:48Z,2020-11-20T16:06:03Z,square,Apache License 2.0,True,3,1,8,8,https://api.github.com/repos/square/catalog-api-demo,https://api.github.com/repos/square/catalog-api-demo/commits,https://api.github.com/repos/square/catalog-api-demo/languages,
59852599,certigo,Organization,A utility to examine and validate certificates in a variety of formats,2016-05-27T17:41:53Z,2021-03-03T12:39:08Z,square,Apache License 2.0,False,55,24,660,660,https://api.github.com/repos/square/certigo,https://api.github.com/repos/square/certigo/commits,https://api.github.com/repos/square/certigo/languages,
31959125,certstrap,Organization,"Tools to bootstrap CAs, certificate requests, and signed certificates.",2015-03-10T13:32:38Z,2021-03-04T20:59:41Z,square,Apache License 2.0,False,155,20,1538,1538,https://api.github.com/repos/square/certstrap,https://api.github.com/repos/square/certstrap/commits,https://api.github.com/repos/square/certstrap/languages,
103194216,cla-test,Organization,,2017-09-11T22:24:34Z,2019-08-07T03:15:08Z,square,,True,2,1,1,1,https://api.github.com/repos/square/cla-test,https://api.github.com/repos/square/cla-test/commits,https://api.github.com/repos/square/cla-test/languages,
60655833,Cleanse,Organization,Lightweight Swift Dependency Injection Framework,2016-06-08T00:24:36Z,2021-03-07T16:29:34Z,square,Other,False,81,3,1537,1537,https://api.github.com/repos/square/Cleanse,https://api.github.com/repos/square/Cleanse/commits,https://api.github.com/repos/square/Cleanse/languages,
45204735,cocoapods-check,Organization,A CocoaPods plugin that shows differences between locked and installed Pods,2015-10-29T19:09:22Z,2021-03-04T20:38:55Z,square,Apache License 2.0,True,16,2,109,109,https://api.github.com/repos/square/cocoapods-check,https://api.github.com/repos/square/cocoapods-check/commits,https://api.github.com/repos/square/cocoapods-check/languages,
134632340,cocoapods-generate,Organization,A CocoaPods plugin that allows you to easily generate a workspace from a podspec.,2018-05-23T22:33:32Z,2021-03-03T19:25:20Z,square,MIT License,False,23,13,186,186,https://api.github.com/repos/square/cocoapods-generate,https://api.github.com/repos/square/cocoapods-generate/commits,https://api.github.com/repos/square/cocoapods-generate/languages,
272793135,cocoapods-query,Organization,"Shows all CocoaPods in a project filtered by search term (author name, source file, dependency, etc.)",2020-06-16T19:19:52Z,2021-02-25T19:13:58Z,square,Other,True,1,0,2,2,https://api.github.com/repos/square/cocoapods-query,https://api.github.com/repos/square/cocoapods-query/commits,https://api.github.com/repos/square/cocoapods-query/languages,
130916501,cocoapods-repo-sq,Organization,,2018-04-24T21:36:24Z,2019-07-03T20:51:01Z,square,Apache License 2.0,True,1,1,3,3,https://api.github.com/repos/square/cocoapods-repo-sq,https://api.github.com/repos/square/cocoapods-repo-sq/commits,https://api.github.com/repos/square/cocoapods-repo-sq/languages,
272593311,cocoapods-why,Organization,Shows why one CocoaPod depends on another,2020-06-16T02:42:37Z,2021-02-24T01:03:33Z,square,Other,True,1,0,4,4,https://api.github.com/repos/square/cocoapods-why,https://api.github.com/repos/square/cocoapods-why/commits,https://api.github.com/repos/square/cocoapods-why/languages,
6890341,connect-api-examples,Organization,,2012-11-27T20:26:29Z,2021-03-02T12:28:25Z,square,,False,624,28,277,277,https://api.github.com/repos/square/connect-api-examples,https://api.github.com/repos/square/connect-api-examples/commits,https://api.github.com/repos/square/connect-api-examples/languages,
54998230,connect-api-specification,Organization,This repository contains the OpenAPI specification as well as templates for generating SDKs for Square's APIs,2016-03-29T17:56:27Z,2021-03-01T18:54:21Z,square,Apache License 2.0,True,34,9,55,55,https://api.github.com/repos/square/connect-api-specification,https://api.github.com/repos/square/connect-api-specification/commits,https://api.github.com/repos/square/connect-api-specification/languages,
64772048,connect-csharp-sdk,Organization,C# client library for the Square Connect APIs,2016-08-02T16:07:33Z,2021-02-08T15:24:15Z,square,Apache License 2.0,True,27,4,27,27,https://api.github.com/repos/square/connect-csharp-sdk,https://api.github.com/repos/square/connect-csharp-sdk/commits,https://api.github.com/repos/square/connect-csharp-sdk/languages,
85248752,connect-java-sdk,Organization,Java client library for the Square Connect v2 API,2017-03-16T22:54:55Z,2021-02-24T23:46:53Z,square,Apache License 2.0,True,19,3,36,36,https://api.github.com/repos/square/connect-java-sdk,https://api.github.com/repos/square/connect-java-sdk/commits,https://api.github.com/repos/square/connect-java-sdk/languages,
113892509,connect-nodejs-sdk,Organization,Javascript client library for the Square Connect APIs ,2017-12-11T18:14:02Z,2021-01-25T09:48:09Z,square,Apache License 2.0,True,43,7,80,80,https://api.github.com/repos/square/connect-nodejs-sdk,https://api.github.com/repos/square/connect-nodejs-sdk/commits,https://api.github.com/repos/square/connect-nodejs-sdk/languages,
54998361,connect-php-sdk,Organization,PHP client library for the Square Connect APIs,2016-03-29T17:58:12Z,2020-10-19T13:51:56Z,square,Apache License 2.0,False,51,8,114,114,https://api.github.com/repos/square/connect-php-sdk,https://api.github.com/repos/square/connect-php-sdk/commits,https://api.github.com/repos/square/connect-php-sdk/languages,
64772029,connect-python-sdk,Organization,Python client library for the Square Connect APIs,2016-08-02T16:07:17Z,2020-08-02T19:43:58Z,square,Apache License 2.0,True,35,5,45,45,https://api.github.com/repos/square/connect-python-sdk,https://api.github.com/repos/square/connect-python-sdk/commits,https://api.github.com/repos/square/connect-python-sdk/languages,
54598346,connect-ruby-sdk,Organization,Ruby client library for the Square Connect APIs,2016-03-23T22:49:23Z,2020-10-31T12:01:56Z,square,Apache License 2.0,False,25,1,42,42,https://api.github.com/repos/square/connect-ruby-sdk,https://api.github.com/repos/square/connect-ruby-sdk/commits,https://api.github.com/repos/square/connect-ruby-sdk/languages,
58294816,coordinators,Organization,Simple MVWhatever for Android,2016-05-08T03:27:06Z,2021-02-28T18:13:27Z,square,Apache License 2.0,False,45,0,714,714,https://api.github.com/repos/square/coordinators,https://api.github.com/repos/square/coordinators/commits,https://api.github.com/repos/square/coordinators/languages,
3598373,crossfilter,Organization,Fast n-dimensional filtering and grouping of records.,2012-03-02T02:10:44Z,2021-03-03T18:06:41Z,square,Other,True,1367,4,6195,6195,https://api.github.com/repos/square/crossfilter,https://api.github.com/repos/square/crossfilter/commits,https://api.github.com/repos/square/crossfilter/languages,
2374578,cube,Organization,Cube: A system for time series visualization.,2011-09-12T22:02:05Z,2021-03-03T16:10:55Z,square,Other,True,454,48,3931,3931,https://api.github.com/repos/square/cube,https://api.github.com/repos/square/cube/commits,https://api.github.com/repos/square/cube/languages,
3859306,cubism,Organization,Cubism.js: A JavaScript library for time series visualization.,2012-03-28T20:30:48Z,2021-02-16T17:01:59Z,square,Other,True,576,46,4899,4899,https://api.github.com/repos/square/cubism,https://api.github.com/repos/square/cubism/commits,https://api.github.com/repos/square/cubism/languages,
335059626,curtains,Organization,Lift the curtain on Android Windows!,2021-02-01T19:24:16Z,2021-03-08T12:26:11Z,square,Apache License 2.0,True,3,1,266,266,https://api.github.com/repos/square/curtains,https://api.github.com/repos/square/curtains/commits,https://api.github.com/repos/square/curtains/languages,
232632652,cycler,Organization,,2020-01-08T18:36:46Z,2021-03-06T16:38:38Z,square,Apache License 2.0,True,22,13,726,726,https://api.github.com/repos/square/cycler,https://api.github.com/repos/square/cycler/commits,https://api.github.com/repos/square/cycler/languages,
5279091,dagger,Organization,A fast dependency injector for Android and Java.,2012-08-02T23:25:32Z,2021-03-08T12:24:59Z,square,Apache License 2.0,False,2991,62,7262,7262,https://api.github.com/repos/square/dagger,https://api.github.com/repos/square/dagger/commits,https://api.github.com/repos/square/dagger/languages,
9984924,dagger-intellij-plugin,Organization,An IntelliJ IDEA plugin for Dagger which provides insight into how injections and providers are used.,2013-05-10T16:02:30Z,2021-02-24T20:06:23Z,square,Apache License 2.0,False,46,9,803,803,https://api.github.com/repos/square/dagger-intellij-plugin,https://api.github.com/repos/square/dagger-intellij-plugin/commits,https://api.github.com/repos/square/dagger-intellij-plugin/languages,
62245239,debug_socket,Organization,Debug socket.,2016-06-29T17:36:03Z,2020-01-09T19:55:51Z,square,Apache License 2.0,False,2,1,6,6,https://api.github.com/repos/square/debug_socket,https://api.github.com/repos/square/debug_socket/commits,https://api.github.com/repos/square/debug_socket/languages,
203695767,droidcon-nyc-2019-workflow-game,Organization,,2019-08-22T02:02:17Z,2020-05-01T17:25:16Z,square,,False,4,0,21,21,https://api.github.com/repos/square/droidcon-nyc-2019-workflow-game,https://api.github.com/repos/square/droidcon-nyc-2019-workflow-game/commits,https://api.github.com/repos/square/droidcon-nyc-2019-workflow-game/languages,
108461954,ember-computable,Organization,EmberJS computed property addon that supports functional programming concepts.,2017-10-26T20:26:20Z,2019-07-03T20:50:29Z,square,Apache License 2.0,True,1,0,9,9,https://api.github.com/repos/square/ember-computable,https://api.github.com/repos/square/ember-computable/commits,https://api.github.com/repos/square/ember-computable/languages,
175881793,ember-square-payment-form,Organization,"The Square Payment Form Ember addon lets you take payments securely and easily in your Ember app using a familiar, component-based syntax.",2019-03-15T19:46:43Z,2020-11-02T17:15:14Z,square,MIT License,False,4,14,11,11,https://api.github.com/repos/square/ember-square-payment-form,https://api.github.com/repos/square/ember-square-payment-form/commits,https://api.github.com/repos/square/ember-square-payment-form/languages,
19263292,erg,Organization,CLI for querying range servers,2014-04-29T04:03:50Z,2020-10-15T20:43:37Z,square,Other,True,17,1,9,9,https://api.github.com/repos/square/erg,https://api.github.com/repos/square/erg/commits,https://api.github.com/repos/square/erg/languages,
243838452,eslint-plugin-square,Organization,"An eslint plugin containing custom JavaScript, Ember, React, TypeScript rules and configurations tailored to Square's needs.",2020-02-28T19:23:32Z,2021-03-01T15:41:17Z,square,Apache License 2.0,True,5,12,9,9,https://api.github.com/repos/square/eslint-plugin-square,https://api.github.com/repos/square/eslint-plugin-square/commits,https://api.github.com/repos/square/eslint-plugin-square/languages,
7903081,ETL,Organization,"Extract, Transform, and Load data with Ruby",2013-01-29T22:51:22Z,2021-02-23T07:38:19Z,square,Other,True,30,7,370,370,https://api.github.com/repos/square/ETL,https://api.github.com/repos/square/ETL/commits,https://api.github.com/repos/square/ETL/languages,
91601985,etre,Organization,Entity API for managing primitive entities with labels,2017-05-17T17:18:45Z,2021-03-02T16:06:39Z,square,Apache License 2.0,False,9,0,18,18,https://api.github.com/repos/square/etre,https://api.github.com/repos/square/etre/commits,https://api.github.com/repos/square/etre/languages,
109155373,etre-client-ruby,Organization,Ruby client for etre https://github.com/square/etre,2017-11-01T16:28:24Z,2021-02-17T15:05:57Z,square,Apache License 2.0,True,2,0,1,1,https://api.github.com/repos/square/etre-client-ruby,https://api.github.com/repos/square/etre-client-ruby/commits,https://api.github.com/repos/square/etre-client-ruby/languages,
275945748,extension-policy-helper,Organization,,2020-06-29T23:10:18Z,2020-07-02T04:44:10Z,square,Apache License 2.0,True,1,0,1,1,https://api.github.com/repos/square/extension-policy-helper,https://api.github.com/repos/square/extension-policy-helper/commits,https://api.github.com/repos/square/extension-policy-helper/languages,
84984027,fde-rekey,Organization,fde-rekey is a tool used to rotate/generate a macOS filevault2 personal recovery key without user interaction.,2017-03-14T18:31:46Z,2019-07-03T20:49:51Z,square,Apache License 2.0,False,2,2,32,32,https://api.github.com/repos/square/fde-rekey,https://api.github.com/repos/square/fde-rekey/commits,https://api.github.com/repos/square/fde-rekey/languages,
4719555,fdoc,Organization,Documentation format and verification,2012-06-19T21:40:32Z,2021-02-13T09:39:24Z,square,Other,True,58,12,385,385,https://api.github.com/repos/square/fdoc,https://api.github.com/repos/square/fdoc/commits,https://api.github.com/repos/square/fdoc/languages,
41121590,field-kit,Organization,FieldKit lets you take control of your text fields.,2015-08-20T22:23:24Z,2021-02-23T21:00:45Z,square,Apache License 2.0,True,35,21,454,454,https://api.github.com/repos/square/field-kit,https://api.github.com/repos/square/field-kit/commits,https://api.github.com/repos/square/field-kit/languages,
114170955,find-yarn-workspace-root,Organization,"Algorithm for finding the root of a yarn workspace, extracted from yarnpkg.com",2017-12-13T21:30:50Z,2021-02-22T19:43:24Z,square,Apache License 2.0,True,8,2,36,36,https://api.github.com/repos/square/find-yarn-workspace-root,https://api.github.com/repos/square/find-yarn-workspace-root/commits,https://api.github.com/repos/square/find-yarn-workspace-root/languages,
12796207,flow,Organization,"Name UI states, navigate between them, remember where you've been.",2013-09-12T22:20:16Z,2021-02-20T12:54:54Z,square,Apache License 2.0,True,262,37,2808,2808,https://api.github.com/repos/square/flow,https://api.github.com/repos/square/flow/commits,https://api.github.com/repos/square/flow/languages,
474273,ftpfxp,Organization,"ftpfxp, with patch",2010-01-15T22:22:04Z,2020-05-08T23:19:23Z,square,Other,True,10,1,11,11,https://api.github.com/repos/square/ftpfxp,https://api.github.com/repos/square/ftpfxp/commits,https://api.github.com/repos/square/ftpfxp/languages,
699741,fundraiser,Organization,,2010-06-02T18:58:27Z,2020-03-04T20:12:23Z,square,,False,7,0,8,8,https://api.github.com/repos/square/fundraiser,https://api.github.com/repos/square/fundraiser/commits,https://api.github.com/repos/square/fundraiser/languages,
35850471,gcmd,Organization,Simple library for golang to execute commands in parallel,2015-05-19T00:49:23Z,2020-06-23T05:43:19Z,square,Other,True,5,0,13,13,https://api.github.com/repos/square/gcmd,https://api.github.com/repos/square/gcmd/commits,https://api.github.com/repos/square/gcmd/languages,
314576,gh-unit,Organization,Test Framework for Objective-C,2009-09-22T18:13:54Z,2020-08-13T14:15:30Z,square,,True,5,0,17,17,https://api.github.com/repos/square/gh-unit,https://api.github.com/repos/square/gh-unit/commits,https://api.github.com/repos/square/gh-unit/languages,
75039592,gifencoder,Organization,A pure Java library implementing the GIF89a specification. Suitable for use on Android.,2016-11-29T03:32:18Z,2021-02-18T20:54:14Z,square,Apache License 2.0,False,65,4,607,607,https://api.github.com/repos/square/gifencoder,https://api.github.com/repos/square/gifencoder/commits,https://api.github.com/repos/square/gifencoder/languages,
36754803,git-fastclone,Organization,git clone --recursive on steroids,2015-06-02T18:56:14Z,2021-02-26T20:50:50Z,square,Other,False,23,3,169,169,https://api.github.com/repos/square/git-fastclone,https://api.github.com/repos/square/git-fastclone/commits,https://api.github.com/repos/square/git-fastclone/languages,
26651710,go-jose,Organization,"An implementation of JOSE standards (JWE, JWS, JWT) in Go",2014-11-14T18:27:31Z,2021-03-08T08:34:10Z,square,,False,310,52,1720,1720,https://api.github.com/repos/square/go-jose,https://api.github.com/repos/square/go-jose/commits,https://api.github.com/repos/square/go-jose/languages,
52479416,go-sq-metrics,Organization,Shared package for metrics collection,2016-02-24T22:35:04Z,2019-07-03T20:48:58Z,square,Apache License 2.0,False,1,0,4,4,https://api.github.com/repos/square/go-sq-metrics,https://api.github.com/repos/square/go-sq-metrics/commits,https://api.github.com/repos/square/go-sq-metrics/languages,
54499863,goprotowrap,Organization,"A package-at-a-time wrapper for protoc, for generating Go protobuf code.",2016-03-22T18:38:58Z,2020-11-21T22:46:49Z,square,Apache License 2.0,True,8,3,147,147,https://api.github.com/repos/square/goprotowrap,https://api.github.com/repos/square/goprotowrap/commits,https://api.github.com/repos/square/goprotowrap/languages,
62745131,gpgmeh,Organization,It's a GPG Gem. Meh.,2016-07-06T18:43:39Z,2021-02-12T22:10:39Z,square,Apache License 2.0,False,4,0,13,13,https://api.github.com/repos/square/gpgmeh,https://api.github.com/repos/square/gpgmeh/commits,https://api.github.com/repos/square/gpgmeh/languages,
18731845,grange,Organization,A modern subset of the range query language,2014-04-13T15:04:51Z,2020-12-21T01:49:46Z,square,Other,False,20,5,35,35,https://api.github.com/repos/square/grange,https://api.github.com/repos/square/grange/commits,https://api.github.com/repos/square/grange/languages,
18779908,grange-server,Organization,,2014-04-14T23:02:57Z,2020-06-23T05:43:13Z,square,Other,True,10,0,11,11,https://api.github.com/repos/square/grange-server,https://api.github.com/repos/square/grange-server/commits,https://api.github.com/repos/square/grange-server/languages,
35850391,gssh,Organization,simple command line to utility to run commands on multiple hosts in parallel,2015-05-19T00:46:50Z,2021-01-31T01:04:15Z,square,Other,True,7,3,101,101,https://api.github.com/repos/square/gssh,https://api.github.com/repos/square/gssh/commits,https://api.github.com/repos/square/gssh/languages,
